customerID,TotalCharges,MonthlyCharges,SeniorCitizen,tenure,gender,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn
6322-HRPFA,2970.3,59.6,0,49,1,1,1,1,0,0,2,2,0,2,0,0,0,0,1,0
6865-JZNKO,1530.6,55.3,0,30,0,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0
6467-CHFZW,4749.15,99.35,0,47,1,1,1,1,2,1,0,2,0,0,2,2,0,1,2,1
8665-UTDHZ,30.2,30.2,0,1,1,1,1,0,1,0,0,2,0,0,0,0,0,0,2,1
5248-YGIJN,6369.45,90.25,0,72,1,1,0,1,2,0,2,2,2,2,2,2,2,1,1,0
8773-HHUOZ,1093.1,64.7,0,17,0,0,1,1,0,0,0,0,0,0,2,2,0,1,3,1
3841-NFECX,6766.95,96.35,1,71,0,1,0,1,2,1,2,2,2,2,0,0,2,1,1,0
4929-XIHVW,181.65,95.5,1,2,1,1,0,1,0,1,0,0,2,0,2,2,0,1,1,0
6827-IEAUQ,1874.45,66.15,0,27,0,1,1,1,0,0,2,2,2,2,0,0,1,0,3,0
7310-EGVHZ,20.2,20.2,0,1,1,0,0,1,0,2,1,1,1,1,1,1,0,0,0,0
3413-BMNZE,45.25,45.25,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6234-RAAPL,7251.7,99.9,0,72,0,1,1,1,2,1,2,2,0,2,2,0,2,0,0,0
6047-YHPVI,316.9,69.7,0,5,1,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1
6572-ADKRS,3548.3,74.8,0,46,0,0,0,1,0,1,0,0,2,0,0,0,0,1,1,0
5380-WJKOV,3549.25,106.35,0,34,1,0,0,1,2,1,0,2,2,0,2,2,0,1,2,1
8168-UQWWF,1105.4,97.85,0,11,0,0,0,1,2,1,0,0,2,0,2,2,0,1,0,1
8865-TNMNX,475.7,49.55,0,10,1,1,1,1,0,0,0,2,0,0,0,0,1,0,3,0
9489-DEDVP,4872.35,69.2,0,70,0,1,1,1,2,0,2,2,0,0,2,0,2,1,1,0
9867-JCZSP,418.25,20.75,0,17,0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,0
4671-VJLCL,4861.45,79.85,0,63,0,0,0,1,2,0,2,2,2,2,2,0,2,1,1,0
4080-IIARD,981.45,76.2,0,13,0,1,0,1,2,0,2,2,0,2,2,0,0,1,2,0
3714-NTNFO,3906.7,84.5,0,49,0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,0
5948-UJZLF,97.0,49.25,0,2,1,0,0,1,0,0,0,2,0,0,0,0,0,0,3,0
7760-OYPDY,144.15,80.65,0,2,0,0,0,1,0,1,0,0,0,0,2,0,0,1,2,1
7639-LIAYI,4217.8,79.75,0,52,1,0,0,1,2,0,2,0,0,2,2,2,2,1,1,0
2954-PIBKO,4254.1,64.15,0,69,0,1,1,1,2,0,2,0,2,2,0,0,2,1,1,0
8012-SOUDQ,3838.75,90.25,1,43,0,0,0,1,2,1,0,2,0,0,2,0,0,1,2,0
9420-LOJKX,1426.4,99.1,0,15,0,0,0,1,0,1,2,2,0,0,2,2,0,1,1,1
6575-SUVOI,1752.65,69.5,1,25,0,1,0,1,2,0,2,0,0,2,2,0,0,1,1,0
7495-OOKFY,633.3,80.65,1,8,0,1,0,1,2,1,0,2,0,0,0,0,0,1,1,1
4667-QONEA,4456.35,74.85,1,60,0,1,1,1,0,0,2,2,2,2,0,2,1,1,1,0
1658-BYGOY,1752.55,95.45,1,18,1,0,0,1,2,1,0,0,0,0,2,2,0,1,2,1
8769-KKTPH,6311.2,99.65,0,63,0,1,1,1,2,1,2,0,0,0,2,2,1,1,1,0
5067-XJQFU,7076.35,108.45,1,66,1,1,1,1,2,1,0,2,2,2,2,2,1,1,2,0
3957-SQXML,894.3,24.95,0,34,0,1,1,1,2,2,1,1,1,1,1,1,2,0,1,0
5954-BDFSG,7853.7,107.5,0,72,0,0,0,1,2,1,0,0,2,2,2,2,2,1,1,0
0434-CSFON,4707.1,100.5,0,47,0,1,0,1,2,1,0,0,2,0,2,2,0,1,2,0
1215-FIGMP,5450.7,89.9,0,60,1,0,0,1,2,1,0,2,0,0,2,0,0,1,0,0
0526-SXDJP,2962.0,42.1,0,72,1,1,0,0,1,0,2,2,2,0,0,0,2,0,0,0
0557-ASKVU,957.1,54.4,0,18,0,1,1,1,0,0,0,0,2,2,0,0,1,1,1,0
5698-BQJOH,857.25,94.4,0,9,0,0,0,1,2,1,0,0,0,0,2,2,0,0,2,1
5122-CYFXA,244.1,75.3,0,3,0,0,0,1,0,0,0,2,0,2,2,2,0,1,2,0
8627-ZYGSZ,3650.35,78.9,0,47,1,1,0,1,2,1,0,2,0,0,0,0,1,1,2,0
3410-YOQBQ,2497.2,79.2,0,31,0,0,0,1,0,0,0,2,2,2,2,2,2,0,3,0
3170-NMYVV,930.9,20.15,0,50,0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,0
7410-OIEDU,887.35,79.85,0,10,1,0,0,1,0,1,2,0,2,0,0,0,0,1,3,0
2273-QCKXA,49.05,49.05,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0
0731-EBJQB,1090.65,20.4,0,52,0,1,1,1,0,2,1,1,1,1,1,1,1,1,2,0
1891-QRQSA,7099.0,111.6,1,64,1,1,1,1,2,1,2,0,2,2,2,2,2,1,0,0
8028-PNXHQ,1424.6,24.25,0,62,1,1,1,1,2,2,1,1,1,1,1,1,2,1,0,0
5630-AHZIL,177.4,64.5,0,3,0,0,1,1,0,0,2,0,0,2,0,2,0,1,0,0
2673-CXQEU,6139.5,110.5,1,56,0,0,0,1,2,1,2,2,2,0,2,2,1,0,2,0
6416-JNVRK,2688.85,55.65,0,46,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0
5590-ZSKRV,482.25,54.65,0,8,0,1,1,1,0,0,2,2,0,0,0,0,0,0,3,0
0191-ZHSKZ,2111.3,74.75,1,30,1,0,0,1,0,0,2,2,0,0,2,2,0,1,2,0
3887-PBQAO,1216.6,25.9,0,45,0,1,1,1,2,2,1,1,1,1,1,1,1,1,1,0
5919-TMRGD,79.35,79.35,0,1,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,1
8108-UXRQN,565.35,50.55,0,11,0,1,1,0,1,0,2,0,0,0,2,2,0,0,2,0
9191-MYQKX,496.9,75.15,0,7,0,1,0,1,0,1,0,0,2,0,0,0,0,1,0,1
9919-YLNNG,4327.5,103.8,0,42,0,0,0,1,0,1,0,2,2,2,2,2,0,1,0,0
0318-ZOPWS,973.35,20.15,0,49,0,1,0,1,0,2,1,1,1,1,1,1,2,1,0,0
4445-ZJNMU,918.75,99.3,0,9,1,0,0,1,2,1,0,2,0,0,2,2,0,1,1,0
4808-YNLEU,2215.45,62.15,0,35,0,1,0,1,0,0,2,0,0,0,2,0,1,1,0,0
1862-QRWPE,1057.0,20.65,0,48,0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,0
2796-NNUFI,927.1,19.95,0,46,0,1,1,1,0,2,1,1,1,1,1,1,2,1,3,0
3016-KSVCP,1009.25,33.75,0,29,1,1,0,0,1,0,0,0,0,0,2,0,0,0,3,0
4767-HZZHQ,2570.2,82.05,0,30,1,1,1,1,0,1,0,2,2,0,0,0,0,0,0,0
2424-WVHPL,74.7,74.7,1,1,1,0,0,1,0,1,0,0,0,2,0,0,0,0,2,0
7233-PAHHL,5714.25,84.0,0,66,1,1,1,1,2,0,2,0,2,2,2,2,2,1,3,0
6067-NGCEU,7107.0,111.05,0,65,0,0,0,1,2,1,2,2,2,0,2,2,0,1,1,0
9848-JQJTX,7459.05,100.9,0,72,1,0,0,1,2,1,0,2,2,0,2,2,2,1,0,0
8637-XJIVR,927.35,78.95,0,12,0,0,0,1,2,1,2,0,0,0,0,0,0,1,2,1
9803-FTJCG,4748.7,66.85,0,71,1,1,1,1,2,0,2,2,0,2,0,0,1,1,1,0
0278-YXOOG,113.85,21.05,0,5,1,0,0,1,0,2,1,1,1,1,1,1,0,0,3,1
3212-KXOCR,1107.2,21.0,0,52,1,0,0,1,0,2,1,1,1,1,1,1,2,0,0,0
4598-XLKNJ,2514.5,98.5,1,25,0,1,0,1,0,1,0,2,2,0,2,2,0,1,2,1
6380-ARCEH,20.2,20.2,0,1,1,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0
3679-XASPY,19.45,19.45,0,1,0,1,1,1,0,2,1,1,1,1,1,1,0,0,2,0
7123-WQUHX,3605.6,95.0,0,38,1,0,0,1,2,1,0,0,2,2,2,0,1,0,0,0
5386-THSLQ,3027.25,45.55,1,66,0,1,0,0,1,0,0,2,2,0,2,0,1,0,0,0
3192-NQECA,7611.85,110.0,0,68,1,1,0,1,2,1,0,2,2,2,2,2,2,1,0,1
6180-YBIQI,100.2,24.3,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0
6728-DKUCO,7303.05,104.15,0,72,0,1,1,1,2,1,2,2,0,0,2,2,1,1,2,0
9750-BOOHV,927.65,30.15,0,32,0,0,0,0,1,0,2,0,0,0,0,0,1,0,3,0
8597-CWYHH,3921.3,94.35,0,43,1,0,0,1,2,1,0,0,0,0,2,2,1,0,3,0
2848-YXSMW,1363.25,19.4,0,72,1,1,1,1,0,2,1,1,1,1,1,1,2,0,1,0
0486-HECZI,5238.9,96.75,0,55,1,1,0,1,2,1,2,2,0,0,2,0,0,1,2,1
4549-ZDQYY,3042.25,57.95,0,52,0,0,0,1,0,0,2,0,2,2,0,0,1,0,1,0
5712-AHQNN,3954.1,91.65,0,43,0,0,0,1,0,1,0,2,2,0,2,0,0,1,2,0
4846-WHAFZ,2868.15,76.5,1,37,0,1,0,1,2,1,0,0,0,0,0,0,0,1,2,1
5256-SKJGO,3423.5,54.6,0,64,0,1,1,0,1,0,0,2,0,2,2,2,2,1,2,0
3071-VBYPO,248.4,89.85,0,3,1,1,1,1,0,1,2,2,0,0,2,0,0,0,2,0
9560-BBZXK,1126.35,31.05,0,36,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0
5299-RULOA,1064.65,100.25,0,10,0,1,1,1,2,1,2,0,0,0,2,2,0,1,2,1
8402-OOOHJ,835.15,20.65,0,41,0,0,0,1,0,2,1,1,1,1,1,1,2,0,3,0
9445-ZUEQE,2151.6,85.2,0,27,1,1,1,1,2,1,0,2,0,2,0,0,0,1,1,0
1091-SOZGA,5515.45,99.8,0,56,0,1,1,1,2,1,0,0,2,0,2,2,1,1,1,0
2928-HLDBA,112.75,20.7,0,6,0,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0
0404-SWRVG,229.55,74.4,0,3,1,0,0,1,2,1,0,0,0,0,0,0,0,1,2,1
6497-TILVL,350.35,50.7,0,7,0,1,1,1,0,0,2,0,0,0,0,0,0,0,3,0
7219-TLZHO,62.9,20.85,0,4,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,0
4622-YNKIJ,3027.65,88.95,0,33,1,0,0,1,0,1,2,0,0,2,2,0,2,1,2,0
4412-YLTKF,2135.5,78.05,1,27,0,0,0,1,2,1,0,0,2,0,0,0,0,1,2,1
6734-PSBAW,1723.95,23.55,0,72,1,1,0,1,2,2,1,1,1,1,1,1,2,1,0,0
3930-ZGWVE,19.75,19.75,0,1,1,0,0,1,0,2,1,1,1,1,1,1,0,0,3,0
2639-UGMAZ,3985.35,56.45,1,71,1,0,0,0,1,0,2,2,0,0,2,2,1,1,2,0
2876-GZYZC,1215.65,85.95,0,13,0,0,0,1,2,1,0,0,0,0,0,2,0,1,2,0
6207-WIOLX,1502.65,58.6,0,25,0,1,1,0,1,0,2,2,2,0,2,2,0,1,1,1
8587-XYZSF,3260.1,50.55,0,67,1,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0
3091-FYHKI,35.45,35.45,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,1,2,1
2372-HWUHI,81.25,44.35,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
7799-LGRDP,1188.2,25.7,0,43,0,0,0,1,2,2,1,1,1,1,1,1,2,1,1,0
7850-VWJUU,1778.5,75.0,0,23,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0
3774-VBNXY,1277.75,20.2,0,64,0,1,1,1,0,2,1,1,1,1,1,1,2,0,3,0
6217-KDYWC,1170.55,19.6,0,57,1,0,1,1,0,2,1,1,1,1,1,1,2,1,3,0
0390-DCFDQ,70.45,70.45,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,3,1
3146-MSEGF,6425.65,88.05,1,72,0,1,1,1,2,0,2,2,2,2,2,2,2,1,1,0
4080-OGPJL,563.65,71.15,0,8,0,0,0,1,2,0,2,0,0,2,0,2,0,0,2,1
1095-WGNGG,5971.25,101.05,0,61,0,1,0,1,2,1,0,2,0,0,2,2,2,1,0,0
2636-SJDOU,5289.05,84.3,0,64,1,0,0,1,2,1,2,2,0,0,0,0,1,1,1,0
1131-QQZEB,1756.2,23.95,1,71,1,1,0,1,2,2,1,1,1,1,1,1,2,0,0,0
5716-EZXZN,6416.7,99.05,0,65,0,1,1,1,2,1,2,2,0,2,2,0,2,1,1,0
6837-BJYDQ,61.35,19.6,0,3,1,0,0,1,0,2,1,1,1,1,1,1,1,0,3,0
2135-RXIHG,45.65,45.65,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1
6440-DKQGE,1929.95,64.5,0,30,1,0,1,1,0,0,0,2,2,0,2,0,1,0,1,0
3466-BYAVD,1071.4,69.5,0,15,1,1,1,1,0,0,0,2,2,2,0,2,0,1,3,0
3780-YVMFA,564.35,68.55,0,8,0,1,1,1,0,0,0,0,0,2,2,2,0,1,2,0
3874-EQOEP,655.5,95.0,0,7,1,0,0,1,2,1,0,0,0,0,2,2,0,0,3,1
1679-JRFBR,7930.55,108.15,0,70,0,1,1,1,2,1,2,2,2,0,2,2,1,1,1,0
9073-ZZIAY,5215.25,86.1,0,62,1,1,1,1,0,0,2,2,2,2,2,2,2,0,2,0
3077-RSNTJ,113.5,19.7,0,6,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,0
6551-GNYDG,1152.8,80.9,0,14,0,1,1,1,0,1,0,0,0,0,0,2,0,1,0,0
9167-APMXZ,1821.95,84.15,0,22,0,0,0,1,2,1,0,0,0,0,2,0,0,1,0,0
2749-CTKAJ,419.9,20.15,0,22,1,1,1,1,0,2,1,1,1,1,1,1,1,0,3,0
6371-NZYEG,1024.0,64.25,0,16,1,1,1,1,0,0,2,0,2,0,2,0,2,0,3,0
7554-NEWDD,251.6,25.7,0,10,1,0,0,1,2,2,1,1,1,1,1,1,2,0,0,0
8992-VONJD,764.55,56.0,0,13,0,0,1,1,0,0,2,2,0,0,0,0,0,1,2,0
0867-MKZVY,1592.35,82.4,0,20,0,1,0,1,2,1,2,0,0,0,0,0,0,0,2,1
4482-EWFMI,135.2,69.7,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,0
4648-YPBTM,3958.25,73.9,0,53,1,0,0,1,2,0,0,2,2,2,0,2,2,1,0,0
2907-ILJBN,233.9,20.6,0,11,0,1,1,1,0,2,1,1,1,1,1,1,1,0,3,0
6345-FZOQH,1363.45,19.9,0,69,1,1,0,1,0,2,1,1,1,1,1,1,2,0,3,0
3376-BMGFE,273.0,70.9,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
5997-OPVFA,6254.45,89.05,0,72,1,1,0,1,2,0,2,2,2,2,2,2,2,1,0,0
3445-HXXGF,2651.2,45.3,1,58,1,1,0,0,1,0,0,2,2,0,0,2,0,1,2,1
1159-WFSGR,321.4,20.4,0,16,0,1,1,1,0,2,1,1,1,1,1,1,0,0,2,0
7654-YWJUF,3539.25,84.25,0,43,1,1,0,1,0,1,2,0,2,2,0,0,1,1,0,0
1875-QIVME,242.8,104.4,0,2,0,1,0,1,2,1,0,0,2,2,2,2,0,1,2,1
6727-IOTLZ,1181.75,81.95,0,14,1,1,0,1,0,0,0,2,2,2,2,2,2,0,3,0
0691-JVSYA,5000.2,94.85,0,53,0,1,0,1,0,1,0,0,2,0,2,2,1,1,0,1
5918-VUKWP,654.55,20.55,0,32,0,0,0,1,0,2,1,1,1,1,1,1,1,0,0,0
1744-JHKYS,780.2,24.7,0,34,0,1,0,1,2,2,1,1,1,1,1,1,0,0,2,0
2656-FMOKZ,1145.7,74.45,1,15,0,0,0,1,2,1,0,0,0,0,0,0,0,1,3,1
2070-FNEXE,503.6,76.45,1,7,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,1
5947-SGKCL,1559.25,105.35,0,15,0,1,1,1,2,1,0,2,2,0,2,2,0,1,0,0
3712-PKXZA,1252.0,20.55,0,61,1,1,0,1,0,2,1,1,1,1,1,1,1,1,1,0
6317-YPKDH,29.95,29.95,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1
6582-OIVSP,45.3,45.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
9367-WXLCH,662.65,84.5,0,8,1,0,0,1,2,1,0,0,0,0,0,2,0,0,0,1
5524-KHNJP,2453.3,74.75,0,33,1,1,1,1,0,0,2,0,2,0,2,2,1,0,1,0
1918-ZBFQJ,1111.65,79.25,0,13,0,0,0,1,0,1,0,2,2,0,0,0,0,1,2,1
1024-GUALD,24.8,24.8,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,1
4827-USJHP,1023.85,51.8,0,20,1,0,0,1,0,0,0,2,0,0,0,0,0,1,3,0
8167-GJLRN,82.15,30.4,0,3,1,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0
0956-SYCWG,244.8,19.65,0,13,0,0,0,1,0,2,1,1,1,1,1,1,1,0,2,0
8017-UVSZU,2379.1,56.6,0,40,0,1,0,1,2,0,0,2,0,0,0,0,0,0,1,0
7100-FQPRV,3173.35,71.9,0,43,1,1,1,1,2,0,2,0,0,2,0,2,1,1,1,0
2472-OVKUP,531.0,91.0,0,6,1,1,0,1,0,1,0,2,2,0,0,2,0,1,2,1
2984-RGEYA,1375.4,19.75,0,69,0,1,1,1,0,2,1,1,1,1,1,1,2,0,0,0
9680-NIAUV,8129.3,109.7,0,72,0,1,1,1,2,1,2,2,2,0,2,2,2,0,1,0
2146-EGVDT,1192.7,19.3,0,59,1,1,1,1,0,2,1,1,1,1,1,1,2,0,1,0
2604-IJPDU,1901.65,96.55,0,20,0,1,0,1,0,1,2,2,0,2,2,0,0,1,2,0
9178-JHUVJ,587.4,24.1,0,24,1,1,1,1,2,2,1,1,1,1,1,1,2,1,0,0
6168-YBYNP,6519.75,111.35,0,59,1,0,0,1,2,1,0,2,2,2,2,2,0,1,2,0
7255-SSFBC,8041.65,112.25,0,72,1,1,1,1,2,1,0,2,2,2,2,2,2,1,0,0
3645-DEYGF,20.75,20.75,0,1,1,0,1,1,0,2,1,1,1,1,1,1,0,0,3,0
9323-HGFWY,2681.15,101.9,0,27,0,1,0,1,0,1,2,0,0,2,2,2,1,1,1,0
8544-GOQSH,1112.3,80.05,0,14,0,0,0,1,0,1,0,2,0,2,0,0,0,1,1,0
3363-DTIVD,7405.5,105.55,0,71,1,1,1,1,2,1,2,0,2,0,2,2,2,0,2,0
7018-WBJNK,1033.95,78.3,0,13,1,0,1,1,0,1,0,0,0,0,2,0,0,1,1,0
9142-KZXOP,2958.95,68.85,0,44,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
7674-YTAFD,2684.85,79.95,0,33,0,0,0,1,0,1,0,2,0,2,0,0,1,1,0,0
6348-SNFUS,4179.2,55.45,0,72,1,1,1,0,1,0,2,2,2,2,0,2,2,1,1,0
1285-OKIPP,79.9,79.9,0,1,1,0,0,1,0,1,0,0,0,0,0,2,0,0,2,1
7825-ECJRF,1934.45,106.6,0,19,0,0,0,1,0,1,2,0,2,2,2,2,0,1,2,1
1347-KTTTA,6654.1,102.45,0,64,1,1,0,1,0,1,0,2,2,2,2,2,1,1,1,0
7841-TZDMQ,84.5,46.0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
4195-NZGTA,25.25,25.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
7157-SMCFK,1124.2,19.75,0,61,1,0,1,1,0,2,1,1,1,1,1,1,2,0,3,0
4709-LKHYG,540.05,20.0,0,29,0,1,1,1,0,2,1,1,1,1,1,1,1,0,2,0
2504-DSHIH,1975.85,86.8,1,23,1,1,0,1,2,1,0,0,0,0,0,2,0,0,2,0
0699-NDKJM,3437.45,58.75,0,57,0,1,0,0,1,0,2,2,2,0,2,2,0,1,0,0
9286-BHDQG,3139.8,45.25,0,72,1,1,1,0,1,0,2,2,2,2,0,0,2,0,1,0
0230-WEQUW,3789.2,56.6,0,66,1,1,0,0,1,0,2,2,2,2,2,0,2,1,0,0
2040-LDIWQ,5324.5,84.2,0,65,1,1,1,1,2,0,0,2,2,2,2,2,2,1,0,0
6496-JDSSB,624.6,80.0,0,8,0,0,0,1,0,1,0,0,0,0,2,0,0,1,0,0
9408-SSNVZ,268.35,70.15,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1
4443-EMBNA,1836.9,24.75,0,71,0,1,0,1,2,2,1,1,1,1,1,1,2,0,0,0
6469-MRVET,20.2,20.2,0,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,2,0
0742-MOABM,179.35,50.05,0,4,1,1,0,1,0,0,0,0,0,2,0,0,0,0,3,1
5961-VUSRV,219.35,19.35,0,12,0,0,0,1,0,2,1,1,1,1,1,1,1,1,0,0
6778-JFCMK,1288.75,50.6,0,24,1,0,0,0,1,0,2,0,0,0,2,2,1,1,3,0
6341-JVQGF,2545.75,81.15,0,31,0,1,1,1,0,0,2,0,2,2,2,2,1,1,3,0
2232-DMLXU,55.2,55.2,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,3,1
4811-JBUVU,2723.15,89.9,0,30,1,0,0,1,2,1,0,0,0,2,0,2,0,1,1,0
0945-TSONX,4107.25,85.3,0,47,0,1,1,1,2,0,2,2,0,2,2,2,2,1,1,0
2651-ZCBXV,5760.65,108.0,0,54,1,0,0,1,2,1,2,2,0,2,2,2,2,1,1,0
3316-UWXUY,4747.5,93.5,0,50,1,0,0,1,0,1,2,2,0,2,0,2,0,1,1,0
8937-RDTHP,84.6,84.6,0,1,1,0,0,1,0,1,2,0,0,0,0,2,0,1,3,1
7083-MIOPC,1566.9,20.25,0,72,0,0,0,1,0,2,1,1,1,1,1,1,2,0,1,0
1984-GPTEH,702.0,25.15,0,29,0,0,0,1,2,2,1,1,1,1,1,1,0,0,2,0
1251-KRREG,114.1,54.4,0,2,1,0,0,1,2,0,0,2,0,0,0,0,0,1,3,1
0621-JFHOL,299.05,29.6,0,10,0,0,0,0,1,0,0,0,0,2,0,0,2,1,3,0
9903-LYSAB,1305.95,73.15,0,18,1,1,0,1,2,1,0,0,0,0,0,0,0,1,2,0
0094-OIFMO,1120.3,95.0,1,11,0,0,0,1,0,1,0,2,0,0,2,2,0,1,2,1
9227-UAQFT,284.35,19.75,0,16,1,0,0,1,0,2,1,1,1,1,1,1,2,0,3,0
7301-ABVAD,6350.5,86.6,0,72,0,0,0,1,2,0,0,2,2,2,2,2,2,0,0,0
6614-FHDBO,7878.3,109.2,0,72,1,0,0,1,2,1,0,2,2,2,2,2,2,0,0,0
7576-ASEJU,3187.65,74.7,0,41,0,1,1,1,0,0,2,0,0,2,2,2,1,1,1,0
9058-HRZSV,6126.15,94.4,1,65,0,1,0,1,0,1,2,2,2,0,0,2,0,0,2,0
4522-AKYLR,731.3,54.8,1,13,0,0,0,1,0,0,0,2,2,0,0,0,0,1,2,0
0221-WMXNQ,273.4,75.35,1,4,1,0,0,1,0,1,2,0,0,0,0,0,0,0,2,0
0303-UNCIP,2531.8,65.0,0,41,1,0,0,1,2,0,0,0,2,0,0,2,1,0,3,0
9947-OTFQU,1074.3,74.4,1,15,1,0,0,1,0,1,0,2,0,0,0,0,0,1,2,1
0322-YINQP,48.55,48.55,0,1,1,0,0,1,0,0,2,0,0,0,0,0,0,1,3,1
0959-WHOKV,4298.45,99.0,0,42,1,0,0,1,2,1,2,2,2,0,0,2,1,1,2,0
4075-JFPGR,4619.55,93.5,0,51,0,1,0,1,0,1,2,2,2,0,2,0,1,1,2,0
4629-NRXKX,147.15,70.4,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,2,1
9514-JDSKI,40.2,40.2,1,1,1,1,0,0,1,0,0,2,0,0,2,0,0,0,2,1
3282-ZISZV,2633.3,83.7,0,32,1,0,1,1,2,0,0,2,2,2,2,2,1,0,1,0
3675-YDUPJ,193.05,19.85,0,10,1,0,0,1,0,2,1,1,1,1,1,1,0,1,3,0
